id,song_id,alias,language,alias_type,normalized_alias,chosung_alias,source_url,source_name,verified_by,verification_note
alias_song_ja_0011_005,song_ja_0011,백 넘버,ko,artist,백넘버,ㅂㄴㅂ,,user_input,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0011_006,song_ja_0011,back number,und,artist,backnumber,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0011_007,song_ja_0011,인터하이,ko,content,인터하이,ㅇㅌㅎㅇ,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0011_008,song_ja_0011,Inter-High,en,content,interhigh,,https://zh.wikipedia.org/wiki/Back_number,Wikipedia,manjak,Staging metadata source; exact tie-in/source detail needs review before production use
alias_song_ja_0012_001,song_ja_0012,달맞이 꽃,ko,display_title,달맞이꽃,ㄷㅁㅇㄲ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0012_002,song_ja_0012,ツキミソウ,ja,canonical_title,ツキミソウ,,https://en.wikipedia.org/wiki/Novelbright,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0012_003,song_ja_0012,Tsukimisou,ro,romanized_title,tsukimisou,,https://en.wikipedia.org/wiki/Novelbright,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0012_004,song_ja_0012,Evening Primrose,en,english_title,eveningprimrose,,https://en.wikipedia.org/wiki/Novelbright,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0012_005,song_ja_0012,노벨브라이트,ko,artist,노벨브라이트,ㄴㅂㅂㄹㅇㅌ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0012_006,song_ja_0012,Novelbright,und,artist,novelbright,,https://en.wikipedia.org/wiki/Novelbright,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0013_001,song_ja_0013,그저 목소리 하나,ko,display_title,그저목소리하나,ㄱㅈㅁㅅㄹㅎㄴ,,user_input,manjak,Needs reliable song metadata source before production use
alias_song_ja_0013_002,song_ja_0013,ただ声一つ,ja,canonical_title,ただ声一つ,,,user_input,manjak,Needs reliable song metadata source before production use
alias_song_ja_0013_003,song_ja_0013,Tada Koe Hitotsu,ro,romanized_title,tadakoehitotsu,,,user_input,manjak,Needs reliable song metadata source before production use
